iter	Logloss
121	0.2735377022
122	0.2731596706
123	0.2727720035
124	0.2723579495
125	0.2719868429
126	0.2715412284
127	0.2712342679
128	0.2709249435
129	0.270637538
130	0.2703237931
131	0.2699017639
132	0.2696406314
133	0.2692304041
134	0.2689368237
135	0.2687022809
136	0.2683111457
137	0.2679901111
138	0.267730979
139	0.2674049389
140	0.2671906321
141	0.2668238529
142	0.2665124075
143	0.2662306778
144	0.2657778849
145	0.2653483749
146	0.2650054582
147	0.2646532674
148	0.2643865063
149	0.2641555775
150	0.2638118028
151	0.263469151
152	0.2632184251
153	0.2628753656
154	0.2626410972
155	0.2623924577
156	0.2620586029
157	0.261787207
158	0.2614917086
159	0.2611802625
160	0.2608860266
161	0.2605976199
162	0.2602575473
163	0.2599575215
164	0.2596409703
165	0.2594456993
166	0.2592215634
167	0.2590060179
168	0.2586931691
169	0.2584764413
170	0.2581928577
171	0.2579216264
172	0.2577400118
173	0.2574382304
174	0.2571933207
175	0.256959983
176	0.256743603
177	0.2562744137
178	0.2560460314
179	0.2557862284
180	0.2554088171
181	0.2552363983
182	0.2550703994
183	0.2547433403
184	0.2545396689
185	0.2543243695
186	0.2541162361
187	0.2538755207
188	0.2535885912
189	0.2534065564
190	0.2530902401
191	0.2529215761
192	0.2526399223
193	0.2524473408
194	0.2521759678
195	0.2519390526
196	0.251739156
197	0.251537523
198	0.2512750904
199	0.2511012335
200	0.2508990844
201	0.250670154
202	0.2505008125
203	0.2502486651
204	0.2500160695
205	0.2496192157
206	0.2494412224
207	0.2492445123
208	0.2489047948
209	0.2486074921
210	0.2484095944
211	0.2481467004
212	0.2479166877
213	0.2476875195
214	0.247424023
215	0.2472362978
216	0.2470628823
217	0.246831201
218	0.246661269
219	0.2464908715
220	0.2462548469
221	0.2460808157
222	0.2459066589
223	0.245716171
224	0.245412598
225	0.2452200667
226	0.2450142327
227	0.2448223881
228	0.2446873543
229	0.2444742584
230	0.244237861
231	0.244013392
232	0.2437792681
233	0.2434702266
234	0.2433094822
235	0.2431766222
236	0.242950957
237	0.2427667543
238	0.2425769907
239	0.2422930541
240	0.2421084043
241	0.2419379957
242	0.2417781616
243	0.2416182672
244	0.2414109434
245	0.2412237952
246	0.240825438
247	0.2406912218
248	0.2404895956
249	0.2402653758
250	0.2399811205
251	0.2398423864
252	0.2395291128
253	0.2393065851
254	0.2391245971
255	0.2389633867
256	0.2387470942
257	0.2386190455
258	0.2383539908
259	0.23815127
260	0.2380157351
261	0.2378903078
262	0.2377027627
263	0.2375350048
264	0.2373198538
265	0.2372177258
266	0.2370050018
267	0.2367360968
268	0.236601408
269	0.2364533835
270	0.2362337121
271	0.2360636544
272	0.2358606424
273	0.2356217543
274	0.2354800639
275	0.2352801052
276	0.2351646966
277	0.2350194354
278	0.2348035969
279	0.2345625508
280	0.2344069762
281	0.2341933531
282	0.2340125016
283	0.233888879
284	0.2337701304
285	0.2336724673
286	0.2335100976
287	0.233345572
288	0.2332026498
289	0.2330432803
290	0.232906199
291	0.2327346971
292	0.2326151983
293	0.2324598892
294	0.232283468
295	0.2321186415
296	0.231979125
297	0.2318378412
298	0.2317078489
299	0.2315200798
300	0.2313929801
301	0.2311984723
302	0.231113594
303	0.2309828392
304	0.230817317
305	0.2306715978
306	0.2305007081
307	0.2304096539
308	0.2302491755
309	0.2301149609
310	0.2299213924
311	0.2297745749
312	0.2297022517
313	0.2296004999
314	0.229438419
315	0.2292906914
316	0.2290825346
317	0.2289653051
318	0.2288084216
319	0.2286775299
320	0.2285244221
321	0.2283339624
322	0.2282061744
323	0.228064377
324	0.2279126867
325	0.227731422
326	0.2275217495
327	0.227381169
328	0.2272967941
329	0.2271287974
330	0.2269206749
331	0.2267749295
332	0.2266182293
333	0.2265187983
334	0.226355654
335	0.2261800953
336	0.2260583254
337	0.2259884229
338	0.2258856691
339	0.2257875948
340	0.2256291872
341	0.2254967142
342	0.2253383725
343	0.2251722934
344	0.225062723
345	0.22488779
346	0.2247834426
347	0.2246266542
348	0.2245492566
349	0.2243755354
350	0.2242633575
351	0.2240999965
352	0.2240303228
353	0.2239102269
354	0.2237409595
355	0.2235865876
356	0.2234900231
357	0.2233411467
358	0.2232465487
359	0.2231022676
360	0.2229765448
361	0.2228004192
362	0.222674941
363	0.2224328628
364	0.2223397305
365	0.2222382954
366	0.2220975144
367	0.2220168097
368	0.2218988333
369	0.2217742334
370	0.2215978041
371	0.2214239125
372	0.2212881039
373	0.2211124581
374	0.221014995
375	0.2208776393
376	0.2207433178
377	0.2205790995
378	0.2204947064
379	0.2204028907
380	0.2202585763
381	0.220118934
382	0.2199946232
383	0.2199178264
384	0.2197733284
385	0.2196492346
386	0.2195463533
387	0.2194283312
388	0.2192740122
389	0.2190518552
390	0.2189057162
391	0.2188106784
392	0.2186884595
393	0.2185723479
394	0.2184502076
395	0.2183407453
396	0.2182643088
397	0.2181173825
398	0.2180200821
399	0.2179005259
400	0.2177884625
401	0.2176542533
402	0.2175288508
403	0.2173926254
404	0.2172902201
405	0.2171352433
406	0.2170143476
407	0.2168745023
408	0.2167772838
409	0.2167087805
410	0.2166046165
411	0.2164917991
412	0.2164070459
413	0.2163006945
414	0.2161858347
415	0.2161130582
416	0.2159343867
417	0.215835391
418	0.2157527868
419	0.2156235433
420	0.2154846092
421	0.2154187013
422	0.2153346439
423	0.2152377363
424	0.2151339694
425	0.2150432733
426	0.2148938751
427	0.214790084
428	0.2146351184
429	0.2145240472
430	0.2144701345
431	0.2143457553
432	0.2142527842
433	0.2140860229
434	0.2139967504
435	0.21392323
436	0.2137978035
437	0.2136844761
438	0.2135768065
439	0.2134311514
440	0.2133490947
441	0.2132436633
442	0.2131253444
443	0.2130029097
444	0.2128774281
445	0.2127439831
446	0.2126626822
447	0.2125211024
448	0.2123730574
449	0.212261479
450	0.2121290636
451	0.2120232845
452	0.2119403639
453	0.2118273619
454	0.2117140768
455	0.2115667026
456	0.2114632039
457	0.2113356135
458	0.2112141549
459	0.2110935833
460	0.2109596251
461	0.2108829942
462	0.2108081149
463	0.2107259033
464	0.2105935775
465	0.2104460071
466	0.2103816553
467	0.2102528981
468	0.2101709201
469	0.2100190519
470	0.2099512884
471	0.2098333234
472	0.2097589577
473	0.2096368396
474	0.2095333037
475	0.2093910901
476	0.2093097366
477	0.2092402485
478	0.2091716144
479	0.2090543824
480	0.2089398645
481	0.2088416626
482	0.2087633716
483	0.2086080518
484	0.2085040003
485	0.2084133636
486	0.2083356772
487	0.2082232441
488	0.208082538
489	0.2080393643
490	0.2079525812
491	0.2078813178
492	0.2077819218
493	0.207692121
494	0.2075950292
495	0.2074755197
496	0.2073567737
497	0.2072236018
498	0.2071352677
499	0.2070233137
500	0.2069407212
501	0.2068904453
502	0.2067801526
503	0.2066970059
504	0.2066281328
505	0.2064999842
506	0.206412071
507	0.2063185585
508	0.2062637347
509	0.2061803428
510	0.2061419826
511	0.2060769822
512	0.2059275905
513	0.2058312986
514	0.2057488434
515	0.2056467636
516	0.2055854915
517	0.2054562849
518	0.2053550605
519	0.2052234141
520	0.2051351254
521	0.2049826506
522	0.204878164
523	0.2048138615
524	0.2047341949
525	0.2046284232
526	0.2045507135
527	0.2044600761
528	0.2043607083
529	0.2042127076
530	0.204159107
531	0.2040651755
532	0.2040100289
533	0.2039438685
534	0.203866151
535	0.2037794434
536	0.2037409399
537	0.2036219733
538	0.2034894769
539	0.2034357116
540	0.2033541727
541	0.2032473928
542	0.203176752
543	0.2030992388
544	0.2029659852
545	0.2028187536
546	0.2027332693
547	0.2026266143
548	0.2025284605
549	0.202391469
550	0.2022881369
551	0.2021830262
552	0.202093096
553	0.2020245646
554	0.2019304346
555	0.2018820803
556	0.2018215912
557	0.2017335589
558	0.2016125595
559	0.2014901871
560	0.2013641651
561	0.2012845194
562	0.2011364199
563	0.2010324655
564	0.2009281512
565	0.200844369
566	0.2007290242
567	0.2006256644
568	0.2005465851
569	0.2005026659
570	0.2003894213
571	0.2002779261
572	0.200185244
573	0.2000557591
574	0.1999186122
575	0.1998218549
576	0.1996918141
577	0.1996161069
578	0.1995034872
579	0.1994136035
580	0.1992873429
581	0.1991796342
582	0.1990842114
583	0.1990033297
584	0.1988465429
585	0.198790107
586	0.1987311384
587	0.1986511412
588	0.1985789331
589	0.1985114251
590	0.1984111929
591	0.1983200864
592	0.1982650051
593	0.1981632361
594	0.1980612038
595	0.1979809126
596	0.1978782666
597	0.1978189706
598	0.1976849225
599	0.1975865626
600	0.197514125
601	0.1974123856
602	0.19731449
603	0.1972570124
604	0.1972007974
605	0.1971540349
606	0.1970672287
607	0.1969622617
608	0.1968465205
609	0.1967702069
610	0.1965935073
611	0.1964668948
612	0.19641494
613	0.1963127087
614	0.1962552128
615	0.1962017019
616	0.1961093953
617	0.1960015247
618	0.1959337839
619	0.1958350255
620	0.1957161953
621	0.1956347978
622	0.1955638303
623	0.1954307034
624	0.195350704
625	0.1952790352
626	0.1952169591
627	0.1951447048
628	0.1950381479
629	0.1949595921
630	0.1948772723
631	0.1947653915
632	0.1947178473
633	0.1946181555
634	0.1945535891
635	0.194503197
636	0.1944263333
637	0.1942803228
638	0.1941610759
639	0.1940991969
640	0.1939849292
641	0.1938821527
642	0.1937668849
643	0.1936461682
644	0.1935676017
645	0.1934554117
646	0.1933764307
647	0.1932885698
648	0.1931948962
649	0.1931273291
650	0.1930649627
651	0.1929874183
652	0.1929026266
653	0.1928218252
654	0.1927316217
655	0.1926735299
656	0.1925817758
657	0.1924486204
658	0.1923583158
659	0.1922544438
660	0.1921769678
661	0.1920231035
662	0.1918807671
663	0.1917972258
664	0.1917226536
665	0.1916767902
666	0.1915945587
667	0.1915093244
668	0.1914354488
669	0.1913183968
670	0.19122316
671	0.1911188475
672	0.1910468498
673	0.1910035581
674	0.1909253197
675	0.1908445405
676	0.1907096595
677	0.1906167127
678	0.1905656437
679	0.190467886
680	0.1903932256
681	0.1902935874
682	0.1901620852
683	0.1899935132
684	0.1898813819
685	0.1897694249
686	0.1897001936
687	0.1896140422
688	0.1895200466
689	0.1894486803
690	0.1893330184
691	0.1892653769
692	0.1891852619
693	0.1891209867
694	0.1889953348
695	0.1888904579
696	0.1888193413
697	0.1887269793
698	0.1885847837
699	0.1885160586
700	0.1883913378
701	0.1883373922
702	0.1882614953
703	0.1881698752
704	0.1880347008
705	0.1879380502
706	0.1878821252
707	0.1878042812
708	0.1877251699
709	0.1876014165
710	0.1875136304
711	0.1874471758
712	0.1873727844
713	0.1872710518
714	0.1872107865
715	0.1871008959
716	0.1870034092
717	0.1869487143
718	0.1868826092
719	0.1868240983
720	0.1867896738
721	0.1867512493
722	0.1866773017
723	0.1866175014
724	0.18650976
725	0.186463632
726	0.1864209364
727	0.1863493677
728	0.1862702719
729	0.1862058991
730	0.1861126021
731	0.1859338182
732	0.1858803036
733	0.1857940989
734	0.1857295557
735	0.1856248895
736	0.1855581878
737	0.1854883274
738	0.1853796648
739	0.1853267729
740	0.1852324295
741	0.1851482509
742	0.185070761
743	0.1849582556
744	0.1848468105
745	0.1847397128
746	0.1846393973
747	0.1845580706
748	0.1844544812
749	0.1844090058
